manv,hoten,phai,ngsinh,cmnd,que,sdt,cstyt,vaitro,chuyenkhoa,matkhau
NV000843,Dang Le Hong,1,12/16/1987,79301000843,Tra Vinh,833124782,CS000006,Nghien cuu,KH000015,NV000843
NV000844,Chu Van Vinh,0,1/17/1997,79301000844,Ha Giang,780885070,CS000006,Nghien cuu,KH000020,NV000844
NV000845,Phung Hoang Phuc,1,9/25/1963,79301000845,Binh Phuoc,891504637,CS000006,Nghien cuu,KH000019,NV000845
NV000846,Phan Duy Au,1,6/7/1969,79301000846,Hung Yen,336855842,CS000006,Nghien cuu,KH000013,NV000846
NV000847,Lang Hieu Phe,1,9/16/1986,79301000847,Bac Kan,774711136,CS000006,Nghien cuu,KH000009,NV000847
NV000848,Quach Ha Au,1,11/5/1951,79301000848,Bac Giang,771514746,CS000006,Nghien cuu,KH000001,NV000848
NV000849,Phuong Quo Nham,0,2/11/1964,79301000849,Lam Dong,770881721,CS000006,Nghien cuu,KH000016,NV000849
NV000850,Quang Ha Bang,0,10/16/1991,79301000850,Hau Giang,791453248,CS000006,Nghien cuu,KH000016,NV000850
NV000851,Nguyen  Vuong Ban,1,10/13/1968,79301000851,Hau Giang,930568000,CS000006,Nghien cuu,KH000001,NV000851
NV000852,Le  The Nghia,1,2/11/1983,79301000852,Phu Tho,885222322,CS000006,Nghien cuu,KH000006,NV000852
NV000853,La Hong Khoi,0,5/27/1985,79301000853,Ha Tinh,991782812,CS000006,Nghien cuu,KH000017,NV000853
NV000854,Cong Quo Nguyet,1,3/18/1992,79301000854,Long An,566707025,CS000006,Nghien cuu,KH000022,NV000854
NV000855,Do Hong Danh,1,5/4/1958,79301000855,Ha Tinh,815455454,CS000006,Nghien cuu,KH000018,NV000855
NV000856,Cong The Quynh,0,10/30/1974,79301000856,Phu Yen,385822480,CS000007,Nghien cuu,KH000022,NV000856
NV000857,Duong Hoang Hai,0,10/9/1957,79301000857,Ba Ria-Vung Tau,321075843,CS000007,Nghien cuu,KH000024,NV000857
NV000858,La Anh Luan,0,8/31/1951,79301000858,Lang Son,967766466,CS000007,Nghien cuu,KH000002,NV000858
NV000859,Vu Thanh Lang,1,1/20/1986,79301000859,Thai Binh,792227737,CS000007,Nghien cuu,KH000012,NV000859
NV000860,Hoang Phu Minh,1,8/24/1965,79301000860,Dak Lak,586603832,CS000007,Nghien cuu,KH000002,NV000860
NV000861,Quan Thong Song,0,2/25/1995,79301000861,Phu Yen,818533504,CS000007,Nghien cuu,KH000025,NV000861
NV000862,Chung Ngoc Cuong,0,4/18/1973,79301000862,Phu Yen,705251587,CS000007,Nghien cuu,KH000014,NV000862
NV000863,Sam Van Thinh,1,5/30/1967,79301000863,Lang Son,980286017,CS000007,Nghien cuu,KH000023,NV000863
NV000864,Binh Le Chi,1,11/19/1983,79301000864,Tuyen Quang,811674061,CS000007,Nghien cuu,KH000015,NV000864
NV000865,Lac Thanh Vuong,0,10/19/1954,79301000865,Da Nang,911400834,CS000007,Nghien cuu,KH000008,NV000865
NV000866,Phung Hieu Binh,0,5/22/1989,79301000866,Ninh Thuan,596835028,CS000007,Nghien cuu,KH000013,NV000866
NV000867,Tran Minh An,0,2/20/1964,79301000867,Can Tho,596826650,CS000007,Nghien cuu,KH000023,NV000867
NV000868,Do Anh Long,1,7/17/1950,79301000868,Thua Thien-Hue,347655708,CS000007,Nghien cuu,KH000003,NV000868
NV000869,Binh Dieu Vinh,0,4/9/1950,79301000869,Quang Nam,334084216,CS000007,Nghien cuu,KH000025,NV000869
NV000870,Nguyen  An Hien,0,10/18/1989,79301000870,Tien Giang,832804523,CS000007,Nghien cuu,KH000022,NV000870
NV000871,Huynh Quo Hong,0,10/10/1974,79301000871,An Giang,921642615,CS000007,Nghien cuu,KH000021,NV000871
NV000872,Dang Tan Hanh,0,7/13/1962,79301000872,Thai Binh,356827884,CS000007,Nghien cuu,KH000001,NV000872
NV000873,Huong Vuong Hung,0,12/22/1952,79301000873,Ninh Binh,393552242,CS000007,Nghien cuu,KH000021,NV000873
NV000874,Dang Ba Lam,1,9/25/1972,79301000874,Kien Giang,882451254,CS000007,Nghien cuu,KH000012,NV000874
NV000875,Lac An Ban,0,5/19/1967,79301000875,Thai Binh,921543565,CS000007,Nghien cuu,KH000014,NV000875
NV000876,Chu Le Lang,1,10/15/1966,79301000876,Thai Nguyen,763347616,CS000007,Nghien cuu,KH000004,NV000876
NV000877,Ho Thu Cat,1,6/5/1991,79301000877,Binh Duong,332384256,CS000007,Nghien cuu,KH000023,NV000877
NV000878,Phan Van Ai,1,9/26/1988,79301000878,Ninh Thuan,345814075,CS000007,Nghien cuu,KH000020,NV000878
NV000879,Lac Thai Xuong,1,9/19/1960,79301000879,Ha Noi,822500144,CS000007,Nghien cuu,KH000022,NV000879
NV000880,Ly Dang Phi,1,3/23/1978,79301000880,Nam Dinh,842414101,CS000007,Nghien cuu,KH000013,NV000880
NV000881,La Dieu Pham,1,9/15/1982,79301000881,Kien Giang,946342254,CS000007,Nghien cuu,KH000023,NV000881
NV000882,Nguyen  Tan Hien,1,7/15/1990,79301000882,Binh Duong,376357131,CS000007,Nghien cuu,KH000014,NV000882
NV000883,Ho Hoang Bich,0,2/6/1955,79301000883,Bac Giang,584106661,CS000007,Nghien cuu,KH000004,NV000883
NV000884,Ho Dai Danh,0,11/12/1996,79301000884,Quang Ninh,945210362,CS000007,Nghien cuu,KH000002,NV000884
NV000885,Quang Vuong Quoc,0,12/22/1991,79301000885,Quang Tri,815567220,CS000007,Nghien cuu,KH000023,NV000885
NV000886,Chau Kim Cao,1,8/29/1995,79301000886,Da Nang,988257151,CS000007,Nghien cuu,KH000010,NV000886
NV000887,Truon Thong Duyen,1,2/7/1983,79301000887,Ca Mau,817663151,CS000007,Nghien cuu,KH000007,NV000887
NV000888,Lang Trong Chinh,0,4/12/1970,79301000888,Lai Chau,964578586,CS000007,Nghien cuu,KH000010,NV000888
NV000889,Quang Thong Quyen,0,12/23/1992,79301000889,Dak Lak,794043488,CS000007,Nghien cuu,KH000014,NV000889
NV000890,Binh Thai Loan,1,3/11/1953,79301000890,Tay Ninh,815140041,CS000007,Nghien cuu,KH000008,NV000890
NV000891,Lang Thai Quoc,0,7/28/1973,79301000891,Tien Giang,944384325,CS000007,Nghien cuu,KH000022,NV000891
NV000892,Chau Kim Nguyet,1,9/2/1980,79301000892,Tuyen Quang,846071170,CS000007,Nghien cuu,KH000010,NV000892
NV000893,Phuong Thanh Au,1,6/26/1951,79301000893,Nghe An,770328875,CS000007,Nghien cuu,KH000020,NV000893
NV000894,Phan Ba Lam,0,6/2/1982,79301000894,Ho Chi Minh,863836845,CS000007,Nghien cuu,KH000004,NV000894
NV000895,Do Nhu Lang,0,1/16/1991,79301000895,Nghe An,334573127,CS000007,Nghien cuu,KH000016,NV000895
NV000896,Chung Ba Vuong,0,11/24/1951,79301000896,Lang Son,355572386,CS000007,Nghien cuu,KH000001,NV000896
NV000897,Tran Tan Thuong,0,2/13/1997,79301000897,Dak Lak,348567527,CS000007,Nghien cuu,KH000012,NV000897
NV000898,La Minh Luyen,1,6/11/1984,79301000898,Khanh Hoa,762738538,CS000007,Nghien cuu,KH000006,NV000898
NV000899,Le  Nhu Khoi,0,6/4/1986,79301000899,Dong Nai,914563645,CS000007,Nghien cuu,KH000012,NV000899
NV000900,Thinh Mai Chanh,0,8/8/1978,79301000900,Ninh Binh,976847586,CS000007,Nghien cuu,KH000002,NV000900
NV000901,Bui Dai Duyen,1,3/25/1992,79301000901,Gia Lai,924430175,CS000007,Nghien cuu,KH000019,NV000901
NV000902,Sam Ba Nham,1,8/25/1969,79301000902,Thanh Hoa,324184886,CS000007,Nghien cuu,KH000021,NV000902
NV000903,Ho Minh Bach,1,4/24/1952,79301000903,Phu Yen,847035650,CS000007,Nghien cuu,KH000016,NV000903
NV000904,Vu Hoang Nga,1,7/22/1953,79301000904,Son La,832272071,CS000007,Nghien cuu,KH000008,NV000904
NV000905,Bui Duy Hue,0,6/9/1990,79301000905,Tien Giang,823203411,CS000007,Nghien cuu,KH000020,NV000905
NV000906,Duong Trong Lieu,0,7/20/2000,79301000906,Ho Chi Minh,993625846,CS000008,Nghien cuu,KH000017,NV000906
NV000907,Lanh Duc Luong,1,1/31/1982,79301000907,Tien Giang,562055441,CS000008,Nghien cuu,KH000017,NV000907
NV000908,Quang Xuan Bach,1,3/24/1998,79301000908,Thanh Hoa,342758132,CS000008,Nghien cuu,KH000012,NV000908
NV000909,Bui Ha Minh,1,10/13/1970,79301000909,Ha Noi,321016567,CS000008,Nghien cuu,KH000025,NV000909
NV000910,Ho Dinh Huyen,1,5/25/1990,79301000910,Bac Kan,330228658,CS000008,Nghien cuu,KH000015,NV000910
NV000911,Hinh Thai Bach,1,6/19/1997,79301000911,Hoa Binh,330705541,CS000008,Nghien cuu,KH000011,NV000911
NV000912,Vu Duc Chanh,1,6/19/1980,79301000912,Ho Chi Minh,593382887,CS000008,Nghien cuu,KH000007,NV000912
NV000913,Hua Vinh Phong,1,2/2/1968,79301000913,Thai Binh,885034702,CS000008,Nghien cuu,KH000003,NV000913
NV000914,La Le Dung,0,1/19/1995,79301000914,Da Nang,946804808,CS000008,Nghien cuu,KH000004,NV000914
NV000915,Trung Trong Son,0,1/8/1956,79301000915,Bac Kan,916522612,CS000008,Nghien cuu,KH000024,NV000915
NV000916,Pham Dinh Luan,1,1/25/1998,79301000916,Lang Son,885057605,CS000008,Nghien cuu,KH000002,NV000916
NV000917,Lac Minh Huong,1,11/19/1989,79301000917,Hai Duong,983468556,CS000008,Nghien cuu,KH000008,NV000917
NV000918,Ho An Bich,1,1/16/1990,79301000918,Binh Phuoc,841682670,CS000008,Nghien cuu,KH000024,NV000918
NV000919,Dang Van Xuong,1,6/27/1951,79301000919,Nam Dinh,378646807,CS000008,Nghien cuu,KH000011,NV000919
NV000920,Lang Hong Nghia,0,2/25/1963,79301000920,Binh Phuoc,985804185,CS000008,Nghien cuu,KH000010,NV000920
NV000921,Vo Vuong Nghia,0,4/28/1993,79301000921,Ca Mau,781707734,CS000008,Nghien cuu,KH000016,NV000921
NV000922,Quang Thong Phuong,1,7/16/1960,79301000922,Quang Nam,367372814,CS000008,Nghien cuu,KH000022,NV000922
NV000923,Trung Dai Niem,0,1/22/1997,79301000923,Quang Tri,938574036,CS000008,Nghien cuu,KH000005,NV000923
NV000924,Bui Nhu Nga,0,12/25/1956,79301000924,Quang Ninh,593024758,CS000008,Nghien cuu,KH000018,NV000924
NV000925,Trung Hoang Thuan,0,5/21/1985,79301000925,Dong Nai,996807354,CS000008,Nghien cuu,KH000017,NV000925
NV000926,Hoang Kim Hien,1,2/25/1959,79301000926,Hai Phong,398254536,CS000008,Nghien cuu,KH000017,NV000926
NV000927,Do Ba Bang,0,6/16/1991,79301000927,Tien Giang,884372007,CS000008,Nghien cuu,KH000007,NV000927
NV000928,Truon Minh Duyen,1,9/18/1971,79301000928,Ninh Thuan,387085840,CS000008,Nghien cuu,KH000025,NV000928
NV000929,Chu Dang Khanh,1,10/17/1962,79301000929,Phu Tho,371667212,CS000008,Nghien cuu,KH000025,NV000929
NV000930,Lanh The Thuy,1,3/5/1992,79301000930,Ha Giang,904421788,CS000008,Nghien cuu,KH000023,NV000930
NV000931,Hinh Dinh Va,1,5/10/1965,79301000931,Long An,592754626,CS000008,Nghien cuu,KH000010,NV000931
NV000932,Thinh Hong Binh,0,1/11/1957,79301000932,Son La,886288570,CS000008,Nghien cuu,KH000003,NV000932
NV000933,Binh Phu Phuong,1,7/30/1954,79301000933,Phu Yen,905672711,CS000008,Nghien cuu,KH000006,NV000933
NV000934,Chung An Song,0,8/3/1965,79301000934,Thua Thien-Hue,761048727,CS000008,Nghien cuu,KH000014,NV000934
NV000935,Thinh Thai Huy,0,4/19/1951,79301000935,Khanh Hoa,591444543,CS000008,Nghien cuu,KH000012,NV000935
NV000936,Ho Dieu Chinh,0,9/28/1974,79301000936,Ninh Binh,763686260,CS000008,Nghien cuu,KH000019,NV000936
NV000937,Quan The Vuong,1,6/26/1973,79301000937,Phu Tho,975362034,CS000008,Nghien cuu,KH000005,NV000937
NV000938,Bui Viet Nguyen,1,1/6/1971,79301000938,Ha Noi,344320778,CS000008,Nghien cuu,KH000003,NV000938
NV000939,Quach Dang Chu,1,8/28/1995,79301000939,Bac Ninh,382482046,CS000008,Nghien cuu,KH000002,NV000939
NV000940,Huynh Ba Lam,0,10/23/1967,79301000940,Thai Binh,561275465,CS000008,Nghien cuu,KH000014,NV000940
NV000941,Binh Thu Chau,1,3/15/1991,79301000941,Binh Phuoc,920242388,CS000008,Nghien cuu,KH000007,NV000941
NV000942,Duong Kim Thuan,1,4/22/1967,79301000942,Tien Giang,852370777,CS000008,Nghien cuu,KH000007,NV000942
NV000943,Hua Hoang Ban,0,11/16/1950,79301000943,Tay Ninh,822072378,CS000008,Nghien cuu,KH000007,NV000943
NV000944,Bach Hieu Chuc,1,10/25/1958,79301000944,Ninh Thuan,917100214,CS000008,Nghien cuu,KH000011,NV000944
NV000945,Sam Thanh Xuong,0,6/15/1974,79301000945,Cao Bang,326108337,CS000008,Nghien cuu,KH000002,NV000945
NV000946,Huynh Ba Loan,0,1/10/1988,79301000946,Hung Yen,904500558,CS000008,Nghien cuu,KH000017,NV000946
NV000947,Thinh Duc Kien,0,6/28/1983,79301000947,Dien Bien,387205680,CS000008,Nghien cuu,KH000017,NV000947
NV000948,Chung Hung Ai,1,12/28/1995,79301000948,Dien Bien,813805074,CS000008,Nghien cuu,KH000001,NV000948
NV000949,Chu Hung Phi,0,6/15/1995,79301000949,Ben Tre,880754462,CS000008,Nghien cuu,KH000009,NV000949
NV000950,Truon Thai Thinh,1,6/28/1967,79301000950,Ca Mau,940776412,CS000008,Nghien cuu,KH000023,NV000950
NV000951,Bui An Danh,0,9/11/1982,79301000951,Quang Nam,362653600,CS000008,Nghien cuu,KH000011,NV000951
NV000952,Phung Van Chi,0,8/4/1994,79301000952,Tra Vinh,974314753,CS000008,Nghien cuu,KH000003,NV000952
NV000953,Chung Anh Cuong,1,4/7/1964,79301000953,Kon Tum,763688181,CS000008,Nghien cuu,KH000002,NV000953
NV000954,Vo Trong Hue,1,1/24/1972,79301000954,Ha Giang,361130126,CS000008,Nghien cuu,KH000012,NV000954
NV000955,Quach Thai Loan,1,2/15/1982,79301000955,Ha Noi,833435027,CS000008,Nghien cuu,KH000011,NV000955
NV000956,Quan Thai Hiep,1,5/4/1961,79301000956,Quang Ninh,863748628,CS000009,Nghien cuu,KH000013,NV000956
NV000957,Lanh Hieu Sinh,0,1/28/1998,79301000957,Thua Thien-Hue,340143025,CS000009,Nghien cuu,KH000023,NV000957
NV000958,La Nhu Thy,0,10/14/1956,79301000958,Dak Nong,977162055,CS000009,Nghien cuu,KH000010,NV000958
NV000959,Lac Thi Chi,0,1/1/1988,79301000959,Tien Giang,985346734,CS000009,Nghien cuu,KH000008,NV000959
NV000960,Duong Le Hue,1,12/15/1978,79301000960,Kien Giang,843884335,CS000009,Nghien cuu,KH000021,NV000960
NV000961,Hua Thanh An,0,9/27/1991,79301000961,Hai Duong,995374280,CS000009,Nghien cuu,KH000009,NV000961
NV000962,Truon Viet Hiep,1,9/15/1968,79301000962,Thanh Hoa,884100624,CS000009,Nghien cuu,KH000019,NV000962
NV000963,Sam Van Phong,0,5/30/1990,79301000963,Da Nang,836341322,CS000009,Nghien cuu,KH000019,NV000963
NV000964,Phan Kim Sinh,0,8/9/1954,79301000964,Dong Thap,560831004,CS000009,Nghien cuu,KH000003,NV000964
NV000965,Ly Xuan Khoi,0,9/25/1998,79301000965,Tien Giang,833583015,CS000009,Nghien cuu,KH000005,NV000965
NV000966,Thinh Minh Chuc,0,7/27/1959,79301000966,Phu Yen,700024580,CS000009,Nghien cuu,KH000012,NV000966
NV000967,Lanh Trong Quoc,0,12/31/1965,79301000967,Da Nang,791474833,CS000009,Nghien cuu,KH000017,NV000967
NV000968,Vu Van Nguyen,0,8/18/1970,79301000968,Khanh Hoa,383658310,CS000009,Nghien cuu,KH000023,NV000968
NV000969,Chau Van Chau,1,10/23/1951,79301000969,Ho Chi Minh,780230570,CS000009,Nghien cuu,KH000025,NV000969
NV000970,La Van Yen,1,4/15/1967,79301000970,Bac Kan,351232014,CS000009,Nghien cuu,KH000023,NV000970
NV000971,Tran Thu Huy,1,5/26/1985,79301000971,Ba Ria-Vung Tau,896286851,CS000009,Nghien cuu,KH000020,NV000971
NV000972,Vo Vuong Lieu,0,12/12/1958,79301000972,Dien Bien,822716867,CS000009,Nghien cuu,KH000020,NV000972
NV000973,Phi Ba Chuc,1,4/22/1986,79301000973,Binh Dinh,774683146,CS000009,Nghien cuu,KH000003,NV000973
NV000974,Ngo Minh Chau,0,8/8/1952,79301000974,Binh Duong,334384165,CS000009,Nghien cuu,KH000001,NV000974
NV000975,Pham Nhu Xuong,0,6/26/1951,79301000975,Quang Ninh,907100120,CS000009,Nghien cuu,KH000008,NV000975
NV000976,Le  Thi Vuong,0,8/24/1987,79301000976,Gia Lai,707801410,CS000009,Nghien cuu,KH000016,NV000976
NV000977,Phi Gia Duyen,0,10/18/1998,79301000977,Thanh Hoa,836840056,CS000009,Nghien cuu,KH000021,NV000977
NV000978,Cong Anh Thu,1,5/31/1952,79301000978,Binh Dinh,892206015,CS000009,Nghien cuu,KH000022,NV000978
NV000979,Phung Thong Bach,1,9/7/2000,79301000979,Ha Tinh,980500608,CS000009,Nghien cuu,KH000016,NV000979
NV000980,Phuong An Son,1,2/20/1957,79301000980,Ninh Thuan,348227162,CS000009,Nghien cuu,KH000014,NV000980
NV000981,Chung Quo Chuc,0,4/21/1985,79301000981,Dak Nong,761573548,CS000009,Nghien cuu,KH000011,NV000981
NV000982,Nguyen  Xuan Nguyet,0,2/6/1997,79301000982,Bac Kan,700170804,CS000009,Nghien cuu,KH000016,NV000982
NV000983,Chau Xuan Cuc,0,3/18/1996,79301000983,Lao Cai,902178442,CS000009,Nghien cuu,KH000007,NV000983
NV000984,Sam The Boc,0,2/7/1955,79301000984,Hoa Binh,387888713,CS000009,Nghien cuu,KH000009,NV000984
NV000985,La Ba Cuong,0,11/17/1969,79301000985,Ben Tre,320733526,CS000009,Nghien cuu,KH000007,NV000985
NV000986,Duong An Nga,1,10/23/1958,79301000986,Can Tho,915371042,CS000009,Nghien cuu,KH000003,NV000986
NV000987,Phuong Vinh Dao,1,11/9/1995,79301000987,Thua Thien-Hue,967680052,CS000009,Nghien cuu,KH000018,NV000987
NV000988,Ngo Hung Cuc,1,9/13/1977,79301000988,Tra Vinh,592754013,CS000009,Nghien cuu,KH000015,NV000988
NV000989,Ho Trong Xuong,0,2/21/1973,79301000989,Khanh Hoa,370132680,CS000009,Nghien cuu,KH000013,NV000989
NV000990,Chau Duc Cuc,0,6/19/1950,79301000990,Phu Yen,976060328,CS000009,Nghien cuu,KH000015,NV000990
NV000991,Sam Mai Cuong,0,8/30/1999,79301000991,Phu Yen,374381418,CS000009,Nghien cuu,KH000016,NV000991
NV000992,Quach Duy Quyen,0,9/7/1982,79301000992,An Giang,865677373,CS000009,Nghien cuu,KH000013,NV000992
NV000993,Lanh Van Vuong,1,12/15/1987,79301000993,Binh Duong,795543357,CS000009,Nghien cuu,KH000008,NV000993
NV000994,Ngo Phu Quynh,1,5/13/1957,79301000994,Thai Binh,895336873,CS000009,Nghien cuu,KH000001,NV000994
NV000995,Phuong Hong Niem,0,10/5/1980,79301000995,Ba Ria-Vung Tau,943582186,CS000009,Nghien cuu,KH000025,NV000995
NV000996,Vo Trong Chi,1,12/19/1971,79301000996,Binh Phuoc,907753857,CS000009,Nghien cuu,KH000003,NV000996
NV000997,Pham Dai Hanh,0,10/4/1981,79301000997,An Giang,815287357,CS000009,Nghien cuu,KH000025,NV000997
NV000998,Chau Vinh Lang,1,3/15/1978,79301000998,Cao Bang,355436847,CS000009,Nghien cuu,KH000009,NV000998
NV000999,Phuong Le Niem,0,3/9/1954,79301000999,Bac Giang,921044880,CS000009,Nghien cuu,KH000001,NV000999
NV001000,Lac Nhu Hung,0,12/6/1971,79301001000,Dak Nong,997863602,CS000009,Nghien cuu,KH000013,NV001000
NV001001,Vo Van Vinh,0,11/27/1950,79301001001,Lam Dong,905650311,CS000009,Nghien cuu,KH000007,NV001001
NV001002,Vu Anh Uyen,0,6/21/1971,79301001002,Bac Lieu,780736140,CS000009,Nghien cuu,KH000010,NV001002
NV001003,Vo Nhu Chanh,0,11/22/1971,79301001003,Quang Tri,380778662,CS000009,Nghien cuu,KH000001,NV001003
NV001004,Chu Dang Yen,0,6/24/1983,79301001004,Bac Lieu,774485527,CS000009,Nghien cuu,KH000008,NV001004
NV001005,Chau Dang Boc,0,9/27/1984,79301001005,Ha Nam,935430543,CS000009,Nghien cuu,KH000021,NV001005
NV001006,Quang Hung Anh,1,12/5/1970,79301001006,Ba Ria-Vung Tau,922565633,CS000010,Nghien cuu,KH000013,NV001006
NV001007,Huong Quang Cao,0,8/21/1955,79301001007,Long An,353500816,CS000010,Nghien cuu,KH000002,NV001007
NV001008,Phuong Le Hung,1,7/20/1970,79301001008,Hai Duong,792071341,CS000010,Nghien cuu,KH000007,NV001008
NV001009,Lanh Phu Luyen,0,8/9/1996,79301001009,Binh Dinh,794832403,CS000010,Nghien cuu,KH000016,NV001009
NV001010,Quan Vinh Thuy,1,4/24/1969,79301001010,Hai Duong,896145305,CS000010,Nghien cuu,KH000005,NV001010
NV001011,Hua Tan Thu,0,6/6/1994,79301001011,Ninh Binh,882787327,CS000010,Nghien cuu,KH000015,NV001011
NV001012,Lang Thanh Manh,0,12/16/1979,79301001012,Phu Tho,392260245,CS000010,Nghien cuu,KH000005,NV001012
NV001013,Phung Ngoc Thi,0,9/17/1963,79301001013,Ninh Thuan,986583254,CS000010,Nghien cuu,KH000001,NV001013
NV001014,Quach Phu Ly,1,1/5/1992,79301001014,Tra Vinh,596573155,CS000010,Nghien cuu,KH000015,NV001014
NV001015,Tran Kim Chau,0,3/9/1987,79301001015,Quang Tri,861246136,CS000010,Nghien cuu,KH000020,NV001015
NV001016,Chung Thong Chinh,0,1/25/1994,79301001016,Da Nang,973160724,CS000010,Nghien cuu,KH000019,NV001016
NV001017,Do Thu An,0,9/26/1998,79301001017,Tay Ninh,706268121,CS000010,Nghien cuu,KH000021,NV001017
NV001018,Quach Hoang Nam,1,8/10/1987,79301001018,Tien Giang,387571341,CS000010,Nghien cuu,KH000006,NV001018
NV001019,Bach Hung Xuong,0,7/29/1994,79301001019,Ninh Thuan,944883415,CS000010,Nghien cuu,KH000001,NV001019
NV001020,Cong Vuong Sinh,1,2/20/1982,79301001020,Tien Giang,568471082,CS000010,Nghien cuu,KH000004,NV001020
NV001021,Lanh Mai Cat,1,8/11/1980,79301001021,Binh Thuan,348288725,CS000010,Nghien cuu,KH000003,NV001021
NV001022,Huong Van Thu,0,7/28/1957,79301001022,Ha Noi,986842073,CS000010,Nghien cuu,KH000008,NV001022
NV001023,Phung Phu Au,1,5/31/1953,79301001023,Thai Binh,705687318,CS000010,Nghien cuu,KH000019,NV001023
NV001024,Ho Thong Quyen,0,4/15/1981,79301001024,Vinh Phuc,885724160,CS000010,Nghien cuu,KH000023,NV001024
NV001025,Binh Dang Ba,0,4/17/1957,79301001025,Ha Noi,387050315,CS000010,Nghien cuu,KH000017,NV001025
NV001026,Lac Hong Ban,0,6/8/1993,79301001026,Tra Vinh,938226437,CS000010,Nghien cuu,KH000001,NV001026
NV001027,Ngo Thanh Luyen,0,4/1/1954,79301001027,Dak Lak,837317425,CS000010,Nghien cuu,KH000025,NV001027
NV001028,Thinh Le Manh,0,12/13/1990,79301001028,Soc Trang,566120512,CS000010,Nghien cuu,KH000001,NV001028
NV001029,Phan Quo Duyen,1,5/12/1962,79301001029,Nghe An,811073407,CS000010,Nghien cuu,KH000011,NV001029
NV001030,Quan Xuan Quang,0,10/7/1996,79301001030,Long An,385183016,CS000010,Nghien cuu,KH000016,NV001030
NV001031,Phuong The Phi,1,5/11/1979,79301001031,Binh Duong,335452760,CS000010,Nghien cuu,KH000019,NV001031
NV001032,Duong Hoang Nham,0,3/23/1953,79301001032,Hung Yen,848854642,CS000010,Nghien cuu,KH000017,NV001032
NV001033,Le  Mai Lieu,1,2/7/1956,79301001033,Lao Cai,776347464,CS000010,Nghien cuu,KH000021,NV001033
NV001034,Tran The Uyen,0,7/17/1982,79301001034,Binh Phuoc,763077851,CS000010,Nghien cuu,KH000013,NV001034
NV001035,Thinh Thu Xuong,0,12/17/1958,79301001035,Lam Dong,837750165,CS000010,Nghien cuu,KH000024,NV001035
NV001036,Cong Hong Ly,0,4/9/1998,79301001036,Nghe An,934406140,CS000010,Nghien cuu,KH000022,NV001036
NV001037,Phan Thu Dung,0,2/15/1956,79301001037,Bac Kan,387227504,CS000010,Nghien cuu,KH000025,NV001037
NV001038,Binh An Vinh,1,7/7/1968,79301001038,Kon Tum,346885818,CS000010,Nghien cuu,KH000017,NV001038
NV001039,Trung Thong Pham,1,11/1/1982,79301001039,Ba Ria-Vung Tau,368370837,CS000010,Nghien cuu,KH000005,NV001039
NV001040,Huong The Chi,1,1/19/1969,79301001040,Hung Yen,910685583,CS000010,Nghien cuu,KH000009,NV001040
NV001041,Ho Viet Luan,0,3/14/1976,79301001041,Phu Yen,942186438,CS000010,Nghien cuu,KH000007,NV001041
NV001042,Quan Thi Luong,0,9/21/1968,79301001042,Ba Ria-Vung Tau,777155821,CS000010,Nghien cuu,KH000004,NV001042
NV001043,Chung Vuong Vinh,0,1/16/1968,79301001043,Hau Giang,835782327,CS000010,Nghien cuu,KH000015,NV001043
NV001044,La Ha Cung,0,5/11/1970,79301001044,Thanh Hoa,894224026,CS000010,Nghien cuu,KH000012,NV001044
NV001045,Lac Nhu Tho,0,7/31/1956,79301001045,Lai Chau,910865232,CS000010,Nghien cuu,KH000021,NV001045
NV001046,Chau Quo Cong,1,6/11/1959,79301001046,Quang Nam,980531717,CS000010,Nghien cuu,KH000017,NV001046
NV001047,Quang Thanh Hanh,1,3/9/1979,79301001047,Phu Tho,765128812,CS000010,Nghien cuu,KH000020,NV001047
NV001048,Cong Dinh Phuong,0,5/21/1972,79301001048,Ba Ria-Vung Tau,580204151,CS000010,Nghien cuu,KH000016,NV001048
NV001049,Do Vuong Luong,0,10/3/1983,79301001049,Quang Binh,902385355,CS000010,Nghien cuu,KH000022,NV001049
NV001050,Quan Quang Cuc,0,8/3/1972,79301001050,Ben Tre,971267735,CS000010,Nghien cuu,KH000008,NV001050
NV001051,Le  Ha Chu,0,7/11/1965,79301001051,Bac Lieu,357714067,CS000010,Nghien cuu,KH000005,NV001051
NV001052,Huong An Thuy,0,10/22/1950,79301001052,Hai Duong,996348557,CS000010,Nghien cuu,KH000024,NV001052
NV001053,Dang Vuong Chu,0,6/2/1980,79301001053,Ben Tre,810684551,CS000010,Nghien cuu,KH000008,NV001053
NV001054,Bach Trong Song,1,7/15/1955,79301001054,Dak Lak,782638678,CS000010,Nghien cuu,KH000024,NV001054
NV001055,Phuong Ha Loan,0,11/3/1953,79301001055,Ha Giang,912033825,CS000010,Nghien cuu,KH000025,NV001055
NV001056,Do An Bich,1,7/27/2000,79301001056,Kon Tum,565576203,CS000011,Nghien cuu,KH000013,NV001056
NV001057,Truon Mai Khuong,1,3/18/1968,79301001057,Hau Giang,867647135,CS000011,Nghien cuu,KH000008,NV001057
NV001058,Sam Vuong Danh,1,11/2/1959,79301001058,Dak Nong,968648801,CS000011,Nghien cuu,KH000023,NV001058
NV001059,Trung Van Bang,1,11/4/1965,79301001059,Quang Nam,562215803,CS000011,Nghien cuu,KH000003,NV001059
