mabn,macsyt,ten,cmnd,ngsinh,sonha,duong,quan,tinh,tsbenh,tsbenhgd,diung,matkhau
BN001039,CS000003,Trung Thi Thinh,79201001039,7/12/1972,346,Dong Xuan,Tan Binh,Son La,,Hoi chung Klinefelter,Kali diicat,BN001039
BN001040,CS000039,Truon Dai Kien,79201001040,7/14/1966,4682,Nguyen Chi Thanh,Binh Tan,Quang Binh,,Benh mu mau ,,BN001040
BN001041,CS000001,Quach Huy Khuong,79201001041,12/26/1950,439,Nguyen Thien Thuat,Ba Dinh,Ho Chi Minh,,Benh tim ,,BN001041
BN001042,CS000013,Duong Thong Nghiem,79201001042,2/15/1996,3595,Bai Say,Go Vap,Quang Nam,,Benh mau kho dong ,Hon hop Carba,BN001042
BN001043,CS000031,Hua Duy Cong,79201001043,2/3/1977,3273,Nguyen Trung Truc,Thanh Xuan,Bac Giang,,,,BN001043
BN001044,CS000043,Duong Thi Huy,79201001044,9/10/1982,3888,Bui Thi Xuan,Binh Tan,Hoa Binh,,,,BN001044
BN001045,CS000013,Hua Ngoc Hai,79201001045,3/9/1979,2856,Nguyen Thai Binh,Long Bien,Long An,,,Imidazolidinyl ure,BN001045
BN001046,CS000047,Ngo The Xuyen,79201001046,6/20/1955,4305,De La Thanh,Ngu Hanh Son,Vinh Phuc,,Hoi chung Down ,,BN001046
BN001047,CS000016,Trung Quang Kien,79201001047,10/7/1961,864,Nguyen Trung Truc,Tu Liem,Dien Bien,,,Mercaptobenzothiazole,BN001047
BN001048,CS000037,Lac Tan Lieu,79201001048,10/21/1967,4851,Bach Mai,Ngo Quyen,Thai Binh,,,Disperse blue 106,BN001048
BN001049,CS000003,Phi Dai Thu,79201001049,7/28/1960,1452,Le Anh Xuan,12,Lam Dong,,Benh mau kho dong ,Bacitracin,BN001049
BN001050,CS000036,Do Dang Hai,79201001050,11/4/1994,4762,Ly Tu Trong,Cam Le,Hung Yen,,Benh tim ,,BN001050
BN001051,CS000037,Cong Thong Chanh,79201001051,6/13/1965,4638,Le Thi Rieng,3,Binh Phuoc,,,Hon hop Caine,BN001051
BN001052,CS000002,Huynh Hieu Sang,79201001052,2/12/1960,3898,Nguyen Cong Tru,Cam Le,Quang Nam,,,Diazolidinyl ure,BN001052
BN001053,CS000045,Dang Duc Long,79201001053,2/14/1961,1295,Bai Say,6,Da Nang,,Hoi chung Klinefelter,,BN001053
BN001054,CS000041,Tran Duc Binh,79201001054,11/3/1955,722,De Tham,Ninh Kieu,Lao Cai,,,Mercaptobenzothiazole,BN001054
BN001055,CS000029,Huong Thi Hue,79201001055,11/2/1985,4058,De La Thanh,Ba Dinh,Ninh Binh,,,Hon hop cao su den ,BN001055
BN001056,CS000047,Huynh Hong Hung,79201001056,1/17/1953,1963,Cach Mang Thang Tam,Tu Liem,Dak Nong,,,Bronopol,BN001056
BN001057,CS000016,Tran An Cao,79201001057,10/30/1994,3535,Phan Chu Trinh,O Mon,Yen Bai,,,Balsam của Peru,BN001057
BN001058,CS000003,Ho Van Chi,79201001058,6/16/1983,215,Phan Van Truong,Son Tra,Ho Chi Minh,,,Kali diicat,BN001058
BN001059,CS000012,Binh Quang Thuong,79201001059,12/17/1963,187,Nguyen Chi Thanh,Cau Giay,Thua Thien-Hue,,,Ethylenediamine,BN001059
BN001060,CS000043,Ngo Nhu Sinh,79201001060,5/14/1981,3850,Bui Vien,Hai Chau,Kien Giang,,Cao huyet ap,Budesonide,BN001060
BN001061,CS000002,Bach Vuong Cuong,79201001061,11/26/1999,3262,Nguyen Thi Minh Khai,Ba Dinh,Yen Bai,,Benh tieu duong ,,BN001061
BN001062,CS000034,Lac Thu Cung,79201001062,5/7/1998,4749,Phan Chu Trinh,1,Vinh Long,,Cao huyet ap,,BN001062
BN001063,CS000039,Quan Tan Lieu,79201001063,3/16/1989,1609,Bui Thi Xuan,Ba Dinh,Bac Kan,,,Imidazolidinyl ure,BN001063
BN001064,CS000047,Truon Hung Lang,79201001064,12/21/1991,3091,Tran Hung Dao,Long Bien,Lao Cai,,,Kali diicat,BN001064
BN001065,CS000009,Phan Thai Bach,79201001065,6/21/1953,889,Nguyen Thai Binh,5,Dak Lak,,Benh mau kho dong ,,BN001065
BN001066,CS000006,Bui Vuong Hong,79201001066,2/26/1993,2716,Trinh Van Can,Lien Chieu,Ha Giang,,Benh mu mau ,,BN001066
BN001067,CS000029,Lac Vuong Chanh,79201001067,2/12/1972,1108,Vo Van Kiet,8,Thua Thien-Hue,,Hoi chung Down ,,BN001067
BN001068,CS000025,Hinh Quo Luong,79201001068,8/29/1976,698,Le Loi,12,Hau Giang,,,Hon hop Carba,BN001068
BN001069,CS000003,Chau Xuan Luan,79201001069,6/5/1965,683,Ba Trieu,Kien An,Lang Son,,,,BN001069
BN001070,CS000026,Chung Minh Loan,79201001070,12/9/1983,4963,Bui Vien,Le Chan,Cao Bang,,Hoi chung Turner,,BN001070
BN001071,CS000046,Chu Thong Lam,79201001071,5/9/1982,2155,Ly Tu Trong,Tan Phu,Kien Giang,,,,BN001071
BN001072,CS000017,Bach Thong Nguyen,79201001072,4/6/1982,4897,Pho Hue,Hai An,Phu Yen,,,Hon hop cao su den ,BN001072
BN001073,CS000023,Cong The Duyen,79201001073,9/24/1991,1342,Giai Phong,O Mon,Thanh Hoa,,,,BN001073
BN001074,CS000017,Binh Dinh Hai,79201001074,12/30/1960,3942,Dang Tran Con,Cam Le,Ha Noi,,Benh mu mau ,,BN001074
BN001075,CS000035,Chung Le Dung,79201001075,2/25/1966,1405,Cong Quynh ,Ngu Hanh Son,Nghe An,,,,BN001075
BN001076,CS000011,Chung Vinh Binh,79201001076,6/26/1996,2969,De La Thanh,Ngu Hanh Son,Cao Bang,,,Hon hop cao su den ,BN001076
BN001077,CS000004,Truon Dang Nga,79201001077,5/8/1966,1875,Nguyen Trai,Ngu Hanh Son,Dak Nong,,,,BN001077
BN001078,CS000010,Ly Hung Thu,79201001078,8/10/1966,4930,Nguyen Trung Truc,Ninh Kieu,Ha Giang,,Benh mau kho dong ,,BN001078
BN001079,CS000029,Chung Hoang Lam,79201001079,9/13/1990,2626,Dong Xuan,7,Ha Noi,,,Hon hop Carba,BN001079
BN001080,CS000045,Ly Thanh Nguyen,79201001080,1/28/1965,590,Ho Tung Mau,Ba Dinh,Yen Bai,,,Hon hop Carba,BN001080
BN001081,CS000006,Trung Van Ai,79201001081,12/17/1985,1381,Phan Chu Trinh,Lien Chieu,Hai Duong,,Benh tim ,,BN001081
BN001082,CS000006,Phuong Ba Luan,79201001082,10/3/1951,2162,Nguyen Thai Binh,Cai Rang,Binh Duong,,Benh tieu duong ,,BN001082
BN001083,CS000007,Lanh Thai Hong,79201001083,2/18/2000,3376,Pham Ngu Lao,Long Bien,Bac Lieu,,Benh mu mau ,,BN001083
BN001084,CS000028,Vo Ha Long,79201001084,8/19/1951,2829,Vo Van Kiet,Hoan Kiem,Bac Lieu,,,Bronopol,BN001084
BN001085,CS000029,Phuong Van Thy,79201001085,12/14/1976,2613,Nguyen Trai,Hoang Sa,Nam Dinh,,,,BN001085
BN001086,CS000029,Le  Kim Khoi,79201001086,11/20/1957,3898,Bui Thi Xuan,Hai Ba Trung,Vinh Phuc,,Benh dong kinh ,Diazolidinyl ure,BN001086
BN001087,CS000014,Phi Thanh Khoan,79201001087,5/31/1963,1084,Phan Van Truong,Cam Le,Can Tho,,,,BN001087
BN001088,CS000032,Hua Dai Huy,79201001088,5/10/1979,2239,Hai Ba Trung,Tu Liem,Bac Kan,,Cao huyet ap,,BN001088
BN001089,CS000008,Hoang Mai Lam,79201001089,6/9/1984,8,Vo Van Kiet,Go Vap,Lang Son,,,,BN001089
BN001090,CS000015,Pham Dinh Ban,79201001090,9/6/1954,2083,Le Loi,Hoang Sa,Lao Cai,,,,BN001090
BN001091,CS000028,Lang Nhu Ban,79201001091,6/5/1964,3238,Ba Trieu,Duong Kinh,Yen Bai,,,Hon hop Carba,BN001091
BN001092,CS000044,Trung Thanh Ba,79201001092,10/23/1950,4911,Tran Hung Dao,Phu Nhuan,Ha Giang,,Benh tieu duong ,Balsam của Peru,BN001092
BN001093,CS000028,Duong Duc Canh,79201001093,12/23/1960,2439,Le Anh Xuan,Le Chan,Bac Lieu,,,Bacitracin,BN001093
BN001094,CS000031,Vo Quo Luan,79201001094,5/16/1980,3944,Truong Dinh,Ba Dinh,Lam Dong,,,Bacitracin,BN001094
BN001095,CS000049,Huynh Ngoc Duyen,79201001095,11/17/1989,290,Ham Nghi,3,Phu Yen,,,Budesonide,BN001095
BN001096,CS000039,Quang Dieu Song,79201001096,2/21/2000,2990,Nguyen Du,11,Kien Giang,,Benh mau kho dong ,,BN001096
BN001097,CS000002,Phuong Kim Khoan,79201001097,3/17/1984,3898,Nguyen Cong Tru,Thot Not,Tra Vinh,,,Hon hop Carba,BN001097
BN001098,CS000013,Khuong Duc Manh,79201001098,2/5/1998,4718,Cach Mang Thang Tam,Ninh Kieu,Ca Mau,,Hoi chung Down ,Quaternium,BN001098
BN001099,CS000042,Trung Thai Nam,79201001099,3/28/1991,2233,Dang Tran Con,Thu Duc,Ha Noi,,,,BN001099
BN001100,CS000040,Phuong Xuan Chu,79201001100,9/28/1993,1132,Dong Xuan,1,Thai Nguyen,,,,BN001100
BN001101,CS000032,Do Thu Lam,79201001101,9/15/1959,2885,Trinh Van Can,Cau Giay,Ho Chi Minh,,,,BN001101
BN001102,CS000039,Hinh Thi Lam,79201001102,9/26/1955,1589,Cach Mang Thang Tam,12,Bac Giang,,,,BN001102
BN001103,CS000038,Quang Huy Nguyen,79201001103,3/6/1986,1587,Le Lai,Do Son,Tra Vinh,,Benh dong kinh ,Imidazolidinyl ure,BN001103
BN001104,CS000004,Chung Nhu Phe,79201001104,11/6/1975,2292,Le Thi Rieng,12,Soc Trang,,Benh tim ,Budesonide,BN001104
BN001105,CS000043,Truon Phu Suong,79201001105,6/14/1999,783,Le Thi Rieng,Ngu Hanh Son,Thua Thien-Hue,,Benh tieu duong ,,BN001105
BN001106,CS000044,Sam Mai Vy,79201001106,12/30/1980,4004,Hai Ba Trung,Hoang Sa,Nghe An,,,,BN001106
BN001107,CS000010,Cong An Kien,79201001107,4/16/1961,1359,Bui Vien,Duong Kinh,Thanh Hoa,,,,BN001107
BN001108,CS000002,Chau Dieu Cuc,79201001108,5/13/1967,2979,Nguyen Thien Thuat,Hai Chau,Ba Ria-Vung Tau,,,Mercaptobenzothiazole,BN001108
BN001109,CS000037,Lanh Dai Thuan,79201001109,9/15/1998,3517,Le Thi Rieng,11,Phu Tho,,Benh tim ,Hon hop Carba,BN001109
BN001110,CS000001,Sam An Cuc,79201001110,7/14/1965,4491,Phan Chu Trinh,Hai An,Binh Dinh,,Benh tieu duong ,,BN001110
BN001111,CS000043,Trung Quang Lam,79201001111,2/8/1985,1568,Ba Trieu,6,Soc Trang,,,,BN001111
BN001112,CS000028,Duong Vinh Lieu,79201001112,2/25/1996,2999,Phan Boi Chau,11,Thai Binh,,,Hon hop cao su den ,BN001112
BN001113,CS000023,Le  Duy Loan,79201001113,10/4/1976,3909,Nguyen Trai,Hoa Vang,Soc Trang,,,Ethylenediamine,BN001113
BN001114,CS000026,Tran Hung Nguyen,79201001114,8/4/1992,711,Bach Mai,Son Tra,Kon Tum,,,Hon hop Caine,BN001114
BN001115,CS000010,Lanh Thi Hanh,79201001115,5/9/1979,3322,De Tham,Hai Chau,Quang Tri,,,,BN001115
BN001116,CS000015,Hoang Duc Bang,79201001116,1/1/1966,3494,Le Thi Rieng,Thanh Khe,Dak Nong,,,,BN001116
BN001117,CS000013,Lac Thanh Lang,79201001117,5/2/1993,1758,Nam Ky Khoi Nghia,Tay Ho,Tay Ninh,,,Bronopol,BN001117
BN001118,CS000026,Quang Duc Lam,79201001118,4/9/1958,886,Nguyen Thien Thuat,Cau Giay,Bac Giang,,,,BN001118
BN001119,CS000015,La The Ai,79201001119,4/26/1951,934,Trung Trac,Lien Chieu,Ben Tre,,,Imidazolidinyl ure,BN001119
BN001120,CS000008,Huong Tan Hai,79201001120,7/11/1973,2890,Le Anh Xuan,7,Hung Yen,,,,BN001120
BN001121,CS000041,La Gia Nhiem,79201001121,10/26/1989,3903,Ba Trieu,3,Quang Ninh,,Hoi chung Turner,,BN001121
BN001122,CS000022,Huynh Quang Xuyen,79201001122,6/22/1989,2120,Nguyen Thien Thuat,Thot Not,Ha Giang,,,Diazolidinyl ure,BN001122
BN001123,CS000029,Chung Nhu Hong,79201001123,6/3/1964,4301,Nguyen Trai,12,Long An,,Hoi chung Turner,Ethylenediamine,BN001123
BN001124,CS000027,Quan Dinh Lang,79201001124,9/12/1982,4767,Nguyen Du,Hoang Sa,Hai Duong,,Benh mu mau ,Imidazolidinyl ure,BN001124
BN001125,CS000023,Thinh Mai Bich,79201001125,10/17/1998,2998,Pham Hong Thai,Le Chan,Yen Bai,,,Imidazolidinyl ure,BN001125
BN001126,CS000001,Chu Trong Dao,79201001126,9/19/1997,1427,Trinh Van Can,9,Son La,,Hoi chung Turner,Diazolidinyl ure,BN001126
BN001127,CS000034,Chau Dinh Nga,79201001127,8/28/1975,4387,De Tham,Ha Dong ,Kien Giang,,Benh tim ,,BN001127
BN001128,CS000038,Do Thong Khoi,79201001128,10/8/1977,2515,Phan Chu Trinh,Thot Not,Ha Noi,,,Hon hop cao su den ,BN001128
BN001129,CS000021,Quan Hieu Kien,79201001129,4/22/1952,4036,Cong Quynh ,Hoang Sa,Lam Dong,,,Kali diicat,BN001129
BN001130,CS000023,Lanh Hong Nga,79201001130,9/13/1953,724,Pham Hong Thai,Go Vap,Bac Lieu,,,,BN001130
BN001131,CS000014,Truon Hung Vinh,79201001131,7/31/1955,366,Cong Quynh ,Tay Ho,Son La,,Benh tim ,,BN001131
BN001132,CS000022,Ngo Quo Bich,79201001132,8/29/1961,1241,Dang Thi Nhu,Ngu Hanh Son,Vinh Long,,,Hon hop Caine,BN001132
BN001133,CS000035,Huynh Duc Nga,79201001133,9/23/2000,1672,Dang Tran Con,Ninh Kieu,Binh Phuoc,,,,BN001133
BN001134,CS000046,La Hieu Lang,79201001134,3/9/1976,2151,Phan Van Truong,Do Son,Khanh Hoa,,,Bronopol,BN001134
BN001135,CS000039,Tran Hoang Thuan,79201001135,10/11/1973,1928,Le Lai,7,Nghe An,,,Mercapto hon hop,BN001135
BN001136,CS000037,Tran Hung Sang,79201001136,10/27/1969,4784,Phan Chu Trinh,Binh Tan,Long An,,,,BN001136
BN001137,CS000043,Phung Dang Hai,79201001137,6/3/1961,4552,Nguyen Thai Binh,10,Kien Giang,,Benh mu mau ,,BN001137
BN001138,CS000034,Hoang Hoang Ba,79201001138,7/27/2000,1792,Bach Mai,Phu Nhuan,Quang Binh,,Benh tim ,,BN001138
BN001139,CS000047,Truon Trong Lieu,79201001139,3/9/1952,389,Dang Thi Nhu,Hai Chau,Dien Bien,,Benh mau kho dong ,,BN001139
BN001140,CS000001,Truon Gia Lang,79201001140,12/6/1969,1821,Vo Van Kiet,Phu Nhuan,Yen Bai,,Benh tim ,Disperse blue 106,BN001140
BN001141,CS000044,Hoang Ba Song,79201001141,4/11/1970,3813,Tran Hung Dao,Phu Nhuan,Cao Bang,,,,BN001141
BN001142,CS000003,Phuong Ngoc Suong,79201001142,2/23/1999,4110,Le Anh Xuan,Go Vap,Nam Dinh,,Benh mu mau ,Quaternium,BN001142
BN001143,CS000010,Sam Quang Long,79201001143,7/6/1953,1661,Nguyen Thai Hoc,Kien An,Ho Chi Minh,,Hoi chung Turner,Hon hop Carba,BN001143
BN001144,CS000012,Huynh Tan Tho,79201001144,11/7/1955,3874,Giai Phong,Tay Ho,Tra Vinh,,Benh mu mau ,,BN001144
BN001145,CS000040,Khuong Dai Xuyen,79201001145,2/11/1991,1333,Tran Hung Dao,Lien Chieu,Thanh Hoa,,,,BN001145
BN001146,CS000030,Ngo Anh Cat,79201001146,12/20/1958,1755,Nguyen Trai,Hoan Kiem,Dak Nong,,Benh tieu duong ,Disperse blue 106,BN001146
BN001147,CS000030,Phuong Ngoc Canh,79201001147,3/14/1999,2365,Bui Thi Xuan,12,Tra Vinh,,Benh tieu duong ,Disperse blue 106,BN001147
BN001148,CS000005,Thinh Mai Xuyen,79201001148,4/22/1958,3109,Bai Say,Hoan Kiem,Ha Giang,,,,BN001148
BN001149,CS000021,Quan Dai Quoc,79201001149,12/17/1995,1607,Pham Hong Thai,Dong Da,Kon Tum,,Benh tieu duong ,Diazolidinyl ure,BN001149
BN001150,CS000042,Hua Viet Thy,79201001150,11/12/1983,3809,Nguyen Chi Thanh,Duong Kinh,Binh Phuoc,,,Hon hop cao su den ,BN001150
BN001151,CS000029,Sam Duc Yen,79201001151,4/9/1968,1745,Nguyen Thai Binh,Binh Tan,Ha Giang,,Cao huyet ap,,BN001151
BN001152,CS000025,Pham An Bich,79201001152,9/24/1973,2454,Trung Nhi,Ngo Quyen,Ba Ria-Vung Tau,,,,BN001152
BN001153,CS000017,Vo Hoang Lam,79201001153,7/11/1986,3767,Nguyen Cong Tru,Thot Not,Thai Nguyen,,Benh bach tang,,BN001153
BN001154,CS000002,Bach Thu Khanh,79201001154,12/19/1962,3988,Pham Ngu Lao,9,Quang Ninh,,,,BN001154
BN001155,CS000044,Trung Xuan Nguyen,79201001155,11/26/1956,3325,Trung Trac,Le Chan,Can Tho,,Benh mu mau ,,BN001155
BN001156,CS000020,Quach Xuan Bich,79201001156,10/3/1953,89,Cong Quynh ,Do Son,Ho Chi Minh,,Benh tieu duong ,Mercapto hon hop,BN001156
BN001157,CS000003,Hinh Hoang Thinh,79201001157,3/5/1991,4216,Ba Trieu,Cau Giay,Son La,,Cao huyet ap,Imidazolidinyl ure,BN001157
BN001158,CS000046,Chung Dang Huong,79201001158,1/28/1980,4326,Pho Hue,Ninh Kieu,Lang Son,,Benh tim ,,BN001158
BN001159,CS000041,Lac Quo Hien,79201001159,8/21/1973,2058,Nguyen Trai,Hoan Kiem,Lam Dong,,,,BN001159
BN001160,CS000020,Phuong Gia Thy,79201001160,11/11/1995,118,Dang Thi Nhu,12,Binh Phuoc,,,Budesonide,BN001160
BN001161,CS000003,Chu Hoang Kiet,79201001161,9/25/1971,2807,Giai Phong,Long Bien,Ha Giang,,Hoi chung Turner,Bacitracin,BN001161
BN001162,CS000019,Bach Tan Thu,79201001162,5/9/1959,4232,Cong Quynh ,Tan Binh,Can Tho,,,Ethylenediamine,BN001162
BN001163,CS000032,Ngo Duc Cung,79201001163,12/3/1951,3897,Le Anh Xuan,Cam Le,Ca Mau,,Benh tieu duong ,Ethylenediamine,BN001163
BN001164,CS000047,Lang Tan Thuy,79201001164,1/29/1975,4505,Phan Boi Chau,Hoa Vang,Tra Vinh,,,Hon hop cao su den ,BN001164
BN001165,CS000024,Khuong Nhu Chu,79201001165,10/20/1979,346,Phan Van Truong,Tan Phu,Ben Tre,,,Hon hop Caine,BN001165
BN001166,CS000002,Phan Ngoc Quang,79201001166,7/1/1982,1161,Tran Hung Dao,Hoa Vang,Ba Ria-Vung Tau,,,Diazolidinyl ure,BN001166
BN001167,CS000005,Tran Dieu Thoa,79201001167,2/6/1950,3936,Truong Dinh,Cam Le,Ha Noi,,,Bacitracin,BN001167
BN001168,CS000043,Ho Mai Xuyen,79201001168,6/15/1963,2727,Bui Vien,Hoang Sa,Binh Duong,,,,BN001168
BN001169,CS000044,Phi Minh Cat,79201001169,12/16/1954,1661,Le Anh Xuan,Tan Binh,Ca Mau,,Benh tim ,Diazolidinyl ure,BN001169
BN001170,CS000049,Nguyen  The Hien,79201001170,5/29/1999,4257,Cong Quynh ,Tan Binh,Thai Binh,,Hoi chung Turner,Bacitracin,BN001170
BN001171,CS000002,Lanh Hieu Nghiem,79201001171,11/6/1995,2697,Nguyen Thai Binh,7,Thai Nguyen,,,,BN001171
BN001172,CS000046,Lanh Kim Quynh,79201001172,12/11/1961,2315,Nguyen Trung Truc,Phu Nhuan,Hung Yen,,Benh dong kinh ,,BN001172
BN001173,CS000022,Tran Minh Thi,79201001173,6/12/1990,1093,De Tham,Lien Chieu,Yen Bai,,,,BN001173
BN001174,CS000023,Phuong Thi Phuc,79201001174,1/1/1950,3721,Ho Tung Mau,Kien An,Bac Giang,,Benh bach tang,Hon hop cao su den ,BN001174
BN001175,CS000012,Chau Gia Ai,79201001175,7/22/1964,4347,Pham Hong Thai,Thanh Xuan,Khanh Hoa,,Benh tim ,Disperse blue 106,BN001175
BN001176,CS000040,Chung Hong Quang,79201001176,12/12/1979,4060,Le Lai,Hai Chau,Quang Ninh,,Cao huyet ap,Mercapto hon hop,BN001176
BN001177,CS000010,Quan Thai Long,79201001177,2/25/1999,1734,Truong Dinh,Phu Nhuan,Tay Ninh,,Benh tieu duong ,,BN001177
BN001178,CS000009,Ngo Ha Son,79201001178,5/20/1961,3934,Phan Boi Chau,4,Phu Tho,,Cao huyet ap,,BN001178
BN001179,CS000050,Duong Le Nam,79201001179,4/25/2000,4120,Nguyen Cong Tru,O Mon,Kon Tum,,Benh mau kho dong ,Balsam của Peru,BN001179
BN001180,CS000050,Ngo Hung Chinh,79201001180,1/5/1989,2584,Bai Say,8,Hung Yen,,Cao huyet ap,,BN001180
BN001181,CS000044,Pham Duc Song,79201001181,6/8/1952,1347,Nguyen Du,2,Kien Giang,,,,BN001181
BN001182,CS000045,Bach Ngoc Nham,79201001182,2/6/1990,951,Ham Nghi,Hoan Kiem,Nghe An,,,Mercaptobenzothiazole,BN001182
BN001183,CS000004,Quach Thanh Kien,79201001183,12/5/1957,4587,Ly Tu Trong,Hoa Vang,Thanh Hoa,,Hoi chung Turner,Balsam của Peru,BN001183
BN001184,CS000023,Nguyen  Quang Luong,79201001184,7/10/1997,3649,Trung Trac,Hong Bang,Tuyen Quang,,Benh bach tang,Hon hop Carba,BN001184
BN001185,CS000027,Lanh Vuong Cat,79201001185,2/9/2000,3134,Ly Tu Trong,11,Phu Tho,,,Imidazolidinyl ure,BN001185
BN001186,CS000043,Sam Xuan Chuc,79201001186,5/8/1958,1894,Bui Vien,Hoang Sa,Dak Nong,,Hoi chung Klinefelter,Ethylenediamine,BN001186
BN001187,CS000050,Chau Vinh Nhiem,79201001187,5/15/1960,674,Vo Van Kiet,Thu Duc,Lai Chau,,,Ethylenediamine,BN001187
BN001188,CS000028,Chung Dai Nghiem,79201001188,7/26/1962,2061,Le Thanh Ton,Do Son,Thanh Hoa,,,Bronopol,BN001188
BN001189,CS000022,Phi Duc Phi,79201001189,2/8/1967,159,Le Thanh Ton,Hong Bang,Quang Tri,,Benh bach tang,Imidazolidinyl ure,BN001189
BN001190,CS000022,Cong Minh Minh,79201001190,8/25/1981,1451,Nguyen Thi Minh Khai,Hoan Kiem,Quang Ninh,,,,BN001190
BN001191,CS000013,Ly Kim Huyen,79201001191,3/11/1959,2479,Pham Hong Thai,10,Hai Duong,,Benh tieu duong ,,BN001191
BN001192,CS000021,Huong Hong Thuy,79201001192,6/5/1986,1917,Le Loi,11,Nghe An,,,,BN001192
BN001193,CS000021,Lanh Vinh Khuong,79201001193,6/8/1954,4336,Nguyen Du,Hai Chau,Ninh Binh,,Benh tim ,Bacitracin,BN001193
BN001194,CS000027,Dang Quo Nguyen,79201001194,3/20/1962,4908,Ba Trieu,2,Ha Noi,,Hoi chung Down ,Kali diicat,BN001194
BN001195,CS000018,Chu Hung Cuong,79201001195,12/20/1951,1998,Bui Vien,Hoang Sa,Binh Duong,,Benh tim ,,BN001195
BN001196,CS000034,Quang Nhu Chuc,79201001196,3/1/1987,3827,Pho Hue,Dong Da,Nam Dinh,,Cao huyet ap,Budesonide,BN001196
BN001197,CS000024,Dang Trong Niem,79201001197,8/20/1961,4614,Vo Van Kiet,Tu Liem,Binh Phuoc,,Cao huyet ap,,BN001197
BN001198,CS000005,Do Quo Sinh,79201001198,6/28/1996,532,Vo Van Kiet,Long Bien,Tay Ninh,,,,BN001198
BN001199,CS000038,Lang Huy Hong,79201001199,1/24/1968,719,Pho Hue,9,Ben Tre,,Hoi chung Klinefelter,,BN001199
BN001200,CS000020,Hua Thu Sinh,79201001200,4/26/1975,584,Nguyen Trung Truc,Lien Chieu,Ha Noi,,Cao huyet ap,Budesonide,BN001200
BN001201,CS000025,Hinh Minh Quyen,79201001201,12/6/1975,491,Giai Phong,4,Kon Tum,,Benh tim ,Hon hop Carba,BN001201
BN001202,CS000042,Vo Van Xuyen,79201001202,10/22/1975,2045,Bai Say,Hai Chau,Nam Dinh,,Cao huyet ap,,BN001202
BN001203,CS000018,Ly Thanh Xuong,79201001203,8/3/1984,4932,Le Thanh Ton,4,Da Nang,,,,BN001203
BN001204,CS000010,Tran Dinh Yen,79201001204,9/23/1985,3014,Bai Say,Tan Binh,Binh Duong,,Hoi chung Down ,,BN001204
BN001205,CS000006,La Huy Hai,79201001205,7/17/1996,3160,Nguyen Thien Thuat,Do Son,An Giang,,Benh bach tang,,BN001205
BN001206,CS000029,Huynh Anh Quyen,79201001206,3/13/1997,4596,Nguyen Thien Thuat,Ninh Kieu,Binh Thuan,,Benh bach tang,,BN001206
BN001207,CS000048,Quan The Hue,79201001207,3/21/1953,1028,Dang Thi Nhu,Phu Nhuan,Can Tho,,,,BN001207
BN001208,CS000045,Quach Dieu Chu,79201001208,8/18/1979,2103,Nguyen Chi Thanh,Ha Dong ,Bac Lieu,,Benh mau kho dong ,Imidazolidinyl ure,BN001208
BN001209,CS000027,Le  Kim Song,79201001209,10/30/1969,1885,De Tham,Ninh Kieu,Long An,,Benh tieu duong ,,BN001209
BN001210,CS000033,Trung Thi Bich,79201001210,9/4/1965,1950,Giai Phong,Thu Duc,Thua Thien-Hue,,Hoi chung Turner,,BN001210
BN001211,CS000037,Phung Vinh Thu,79201001211,6/5/1986,4918,Nguyen Thai Hoc,Ngo Quyen,Hau Giang,,,,BN001211
BN001212,CS000019,Hua Xuan Uyen,79201001212,1/5/1973,1642,Truong Dinh,4,Hau Giang,,Cao huyet ap,Hon hop cao su den ,BN001212
BN001213,CS000032,Le  Duc Thuy,79201001213,6/15/1986,1730,Nguyen Chi Thanh,Cau Giay,Ben Tre,,Benh mu mau ,Kali diicat,BN001213
BN001214,CS000011,Phi Ba Loan,79201001214,1/10/1954,1182,Pho Hue,Binh Tan,Thua Thien-Hue,,Benh dong kinh ,,BN001214
BN001215,CS000002,Nguyen  Ha Anh,79201001215,2/3/1965,4963,Truong Dinh,Tan Binh,Khanh Hoa,,Hoi chung Klinefelter,,BN001215
BN001216,CS000008,Hinh Nhu Bich,79201001216,1/20/1985,4414,Phan Chu Trinh,Hong Bang,Hai Duong,,,Bacitracin,BN001216
BN001217,CS000047,Hinh Anh Minh,79201001217,10/11/1998,2928,Bach Mai,Go Vap,Soc Trang,,Benh tim ,Bacitracin,BN001217
BN001218,CS000025,Quan Thai Son,79201001218,11/10/1959,4124,Nguyen Thi Minh Khai,Hai An,Dak Lak,,Benh tim ,Bronopol,BN001218
BN001219,CS000004,Nguyen  Thanh Cung,79201001219,10/18/1986,3963,Nam Ky Khoi Nghia,10,Binh Thuan,,,,BN001219
BN001220,CS000040,Sam Hung Bang,79201001220,8/25/1975,1092,Giai Phong,Hai Ba Trung,Ben Tre,,,,BN001220
BN001221,CS000032,Hoang Thanh Thy,79201001221,3/12/1993,1343,Ho Tung Mau,Hong Bang,Ninh Thuan,,Benh mu mau ,,BN001221
BN001222,CS000017,Duong Dinh An,79201001222,1/17/1988,2492,Bui Thi Xuan,9,Long An,,,,BN001222
BN001223,CS000014,Le  Vuong Va,79201001223,3/11/1975,408,Pham Ngu Lao,Tan Phu,Lang Son,,Cao huyet ap,,BN001223
